county,state,fipscounty,fipsstate,overdose_deaths,year
ANDERSON,TN,47001,47,20,2015
ANDERSON,TN,47001,47,24,2016
ANDERSON,TN,47001,47,34,2017
ANDERSON,TN,47001,47,18,2018
BEDFORD,TN,47003,47,8,2015
BEDFORD,TN,47003,47,1,2016
BEDFORD,TN,47003,47,3,2017
BEDFORD,TN,47003,47,7,2018
BENTON,TN,47005,47,4,2015
BENTON,TN,47005,47,1,2016
BENTON,TN,47005,47,5,2017
BENTON,TN,47005,47,1,2018
BLEDSOE,TN,47007,47,1,2015
BLEDSOE,TN,47007,47,2,2016
BLEDSOE,TN,47007,47,2,2017
BLEDSOE,TN,47007,47,3,2018
BLOUNT,TN,47009,47,19,2015
BLOUNT,TN,47009,47,21,2016
BLOUNT,TN,47009,47,29,2017
BLOUNT,TN,47009,47,30,2018
BRADLEY,TN,47011,47,10,2015
BRADLEY,TN,47011,47,7,2016
BRADLEY,TN,47011,47,14,2017
BRADLEY,TN,47011,47,17,2018
CAMPBELL,TN,47013,47,16,2015
CAMPBELL,TN,47013,47,4,2016
CAMPBELL,TN,47013,47,5,2017
CAMPBELL,TN,47013,47,3,2018
CANNON,TN,47015,47,3,2015
CANNON,TN,47015,47,3,2016
CANNON,TN,47015,47,3,2017
CANNON,TN,47015,47,3,2018
CARROLL,TN,47017,47,1,2015
CARROLL,TN,47017,47,1,2016
CARROLL,TN,47017,47,2,2017
CARROLL,TN,47017,47,0,2018
CARTER,TN,47019,47,10,2015
CARTER,TN,47019,47,14,2016
CARTER,TN,47019,47,16,2017
CARTER,TN,47019,47,12,2018
CHEATHAM,TN,47021,47,15,2015
CHEATHAM,TN,47021,47,13,2016
CHEATHAM,TN,47021,47,24,2017
CHEATHAM,TN,47021,47,21,2018
CHESTER,TN,47023,47,3,2015
CHESTER,TN,47023,47,2,2016
CHESTER,TN,47023,47,1,2017
CHESTER,TN,47023,47,1,2018
CLAIBORNE,TN,47025,47,3,2015
CLAIBORNE,TN,47025,47,2,2016
CLAIBORNE,TN,47025,47,2,2017
CLAIBORNE,TN,47025,47,1,2018
CLAY,TN,47027,47,2,2015
CLAY,TN,47027,47,6,2016
CLAY,TN,47027,47,2,2017
CLAY,TN,47027,47,1,2018
COCKE,TN,47029,47,5,2015
COCKE,TN,47029,47,4,2016
COCKE,TN,47029,47,6,2017
COCKE,TN,47029,47,6,2018
COFFEE,TN,47031,47,8,2015
COFFEE,TN,47031,47,12,2016
COFFEE,TN,47031,47,12,2017
COFFEE,TN,47031,47,13,2018
CROCKETT,TN,47033,47,1,2015
CROCKETT,TN,47033,47,0,2016
CROCKETT,TN,47033,47,0,2017
CROCKETT,TN,47033,47,2,2018
CUMBERLAND,TN,47035,47,2,2015
CUMBERLAND,TN,47035,47,6,2016
CUMBERLAND,TN,47035,47,9,2017
CUMBERLAND,TN,47035,47,7,2018
DAVIDSON,TN,47037,47,127,2015
DAVIDSON,TN,47037,47,178,2016
DAVIDSON,TN,47037,47,184,2017
DAVIDSON,TN,47037,47,200,2018
DECATUR,TN,47039,47,5,2015
DECATUR,TN,47039,47,3,2016
DECATUR,TN,47039,47,0,2017
DECATUR,TN,47039,47,2,2018
DE KALB,TN,47041,47,2,2015
DE KALB,TN,47041,47,1,2016
DE KALB,TN,47041,47,7,2017
DE KALB,TN,47041,47,4,2018
DICKSON,TN,47043,47,16,2015
DICKSON,TN,47043,47,17,2016
DICKSON,TN,47043,47,6,2017
DICKSON,TN,47043,47,10,2018
DYER,TN,47045,47,1,2015
DYER,TN,47045,47,0,2016
DYER,TN,47045,47,1,2017
DYER,TN,47045,47,0,2018
FAYETTE,TN,47047,47,5,2015
FAYETTE,TN,47047,47,2,2016
FAYETTE,TN,47047,47,3,2017
FAYETTE,TN,47047,47,4,2018
FENTRESS,TN,47049,47,2,2015
FENTRESS,TN,47049,47,2,2016
FENTRESS,TN,47049,47,1,2017
FENTRESS,TN,47049,47,1,2018
FRANKLIN,TN,47051,47,7,2015
FRANKLIN,TN,47051,47,2,2016
FRANKLIN,TN,47051,47,3,2017
FRANKLIN,TN,47051,47,1,2018
GIBSON,TN,47053,47,6,2015
GIBSON,TN,47053,47,5,2016
GIBSON,TN,47053,47,6,2017
GIBSON,TN,47053,47,6,2018
GILES,TN,47055,47,9,2015
GILES,TN,47055,47,4,2016
GILES,TN,47055,47,5,2017
GILES,TN,47055,47,4,2018
GRAINGER,TN,47057,47,2,2015
GRAINGER,TN,47057,47,3,2016
GRAINGER,TN,47057,47,1,2017
GRAINGER,TN,47057,47,1,2018
GREENE,TN,47059,47,5,2015
GREENE,TN,47059,47,13,2016
GREENE,TN,47059,47,17,2017
GREENE,TN,47059,47,18,2018
GRUNDY,TN,47061,47,1,2015
GRUNDY,TN,47061,47,2,2016
GRUNDY,TN,47061,47,1,2017
GRUNDY,TN,47061,47,2,2018
HAMBLEN,TN,47063,47,11,2015
HAMBLEN,TN,47063,47,19,2016
HAMBLEN,TN,47063,47,9,2017
HAMBLEN,TN,47063,47,7,2018
HAMILTON,TN,47065,47,37,2015
HAMILTON,TN,47065,47,53,2016
HAMILTON,TN,47065,47,60,2017
HAMILTON,TN,47065,47,41,2018
HANCOCK,TN,47067,47,3,2015
HANCOCK,TN,47067,47,1,2016
HANCOCK,TN,47067,47,3,2017
HANCOCK,TN,47067,47,3,2018
HARDEMAN,TN,47069,47,1,2015
HARDEMAN,TN,47069,47,1,2016
HARDEMAN,TN,47069,47,4,2017
HARDEMAN,TN,47069,47,2,2018
HARDIN,TN,47071,47,7,2015
HARDIN,TN,47071,47,7,2016
HARDIN,TN,47071,47,2,2017
HARDIN,TN,47071,47,5,2018
HAWKINS,TN,47073,47,14,2015
HAWKINS,TN,47073,47,19,2016
HAWKINS,TN,47073,47,5,2017
HAWKINS,TN,47073,47,11,2018
HAYWOOD,TN,47075,47,0,2015
HAYWOOD,TN,47075,47,1,2016
HAYWOOD,TN,47075,47,0,2017
HAYWOOD,TN,47075,47,1,2018
HENDERSON,TN,47077,47,4,2015
HENDERSON,TN,47077,47,2,2016
HENDERSON,TN,47077,47,5,2017
HENDERSON,TN,47077,47,6,2018
HENRY,TN,47079,47,1,2015
HENRY,TN,47079,47,4,2016
HENRY,TN,47079,47,2,2017
HENRY,TN,47079,47,7,2018
HICKMAN,TN,47081,47,5,2015
HICKMAN,TN,47081,47,4,2016
